ID	Centroid Size	Log Centroid Size
Alouatta seniculus	528.078367	6.269244695
Ateles geoffroyi	678.5081269	6.519896457
Ateles paniscus	615.5617935	6.422535336
Cebus apella	431.3486899	6.05883885
Cebus capucinus	432.6239859	6.0675517
Cercopithecus ascanius	545.7473267	6.297657348
Cercopithecus cephus	494.2557649	6.203032288
Cercocebus galeritus	611.2982973	6.412412532
Cercopithecus hamlyni	536.7103953	6.283298519
Cercopithecus lhoesti	576.5569817	6.349602873
Cercopithecus mitis	604.4769468	6.399918185
Cercopithecus mona	495.4142014	6.205082888
Cercopithecus neglectus	536.2451873	6.281441198
Cercopithecus nictitans	573.7416612	6.350782555
Chlorocebus aethiops	530.630579	6.269811824
Colobus guereza	650.9998066	6.477265633
Colobus polykomos	613.4056158	6.413732463
Daubentonia madagascariensis	376.5259331	5.930986924
Erythrocebus patas	616.1354753	6.421070908
Eulemur fulvus	385.9381574	5.955308254
Gorilla beringei	1660.619327	7.40958717
Gorilla gorilla	1717.905538	7.448861118
Hylobates lar	594.7918448	6.387354349
Indri indri	531.6082005	6.275811036
Lagothrix lagotricha	572.0930556	6.346243664
Lemur catta	380.0401045	5.93968805
Lophocebus albigena	621.723678	6.430676897
Lophocebus aterrimus	648.8614959	6.475020567
Macaca fascicularis	538.3005754	6.288044867
Macaca maura	649.4292165	6.474529298
Macaca mulatta	658.4686759	6.489914945
Macaca nemestrina	643.5378464	6.455050965
Mandrillus sphinx	816.4626045	6.696656429
Nycticebus coucang	291.2783385	5.673665591
Otolemur crassicaudatus	300.4361288	5.705235009
Pan paniscus	1147.911508	7.045550771
Pan troglodytes	1302.219295	7.169694056
Papio anubis	887.7947007	6.783760946
Papio cynocephalus	735.8085848	6.599183056
Papio hamadryas	773.5378629	6.648414261
Piliocolobus badius	622.1754089	6.433149605
Piliocolobus kirkii	532.4373507	6.276216955
Pongo pygmaeus	1308.597367	7.175403619
Presbytis comata	537.3602511	6.286041947
Pygathrix nemaeus	599.1109591	6.395446821
Semnopithecus entellus	589.0598534	6.376221568
Symphalangus syndactylus	801.0745052	6.685602933
Theropithecus gelada	781.2164832	6.660435058
Varecia variegata	455.1153823	6.120069872
