ID,Genus,Species
GorBer00994M8HOM,Gor,GorBer
GorBer00999M8HOM,Gor,GorBer
GorBer01001M8HOM,Gor,GorBer
GorBer02258F8HOM,Gor,GorBer
GorBer09405M8HOM,Gor,GorBer
GorBer27222M8HOM,Gor,GorBer
GorBer27756F8HOM,Gor,GorBer
GorBer27839F8HOM,Gor,GorBer
GorGorGor45F8HOM,Gor,GorGor
HylLar01579F7HOM,Hyl,HylLar
HylLar01584M7HOM,Hyl,HylLar
HylLar01608M7HOM,Hyl,HylLar
HylLar01609M7HOM,Hyl,HylLar
HylLar01610F7HOM,Hyl,HylLar
HylLar01612M7HOM,Hyl,HylLar
HylLar01613F7HOM,Hyl,HylLar
HylLar01615F7HOM,Hyl,HylLar
HylLar01616M7HOM,Hyl,HylLar
HylLar01617F7HOM,Hyl,HylLar
PanPan13202M8HOM,Pan,PanPan
PanPan15294M8OWM,Pan,PanPan
PanPan15295M8HOM,Pan,PanPan
PanPan15296F8HOM,Pan,PanPan
PanPan27698F8HOM,Pan,PanPan
PanPan27699M8HOM,Pan,PanPan
PanPan29042F8HOM,Pan,PanPan
PanPan29045F8HOM,Pan,PanPan
PanTro00177M8HOM,Pan,PanTro
PanTro00179M8HOM,Pan,PanTro
PanTro00545F8HOM,Pan,PanTro
PanTro29074F8HOM,Pan,PanTro
PanTro99315M8OWM,Pan,PanTro
PonPygPL101M8HOM,Pon,PonPyg
PonPygPON14F8HOM,Pon,PonPyg
PonPygPON17M8HOM,Pon,PonPyg
SymSyn01725M7HOM,Sym,SymSyn
SymSyn01726F7HOM,Sym,SymSyn
