ID,Genus
CerAsc00972F3OWM,Cer
CerAsc01283M3OWM,Cer
CerAsc19318M3OWM,Cer
CerAsc21377F3OWM,Cer
CerCep16301F3OWM,Cer
CerCep38137F3OWM,Cer
CerGal05375F4OWM,Cer
CerGal05999M4OWM,Cer
CerHam01500M3OWM,Cer
CerHam03040F3OWM,Cer
CerHam23700F3OWM,Cer
CerLho12672F3OWM,Cer
CerLho42513M3OWM,Cer
CerLho91863F3OWM,Cer
CerLho91865M3OWM,Cer
CerMit10595M3OWM,Cer
CerMit10599F3OWM,Cer
CerMit37530F3OWM,Cer
CerMon04972M3OWM,Cer
CerMon17137F3OWM,Cer
CerMon29114M3OWM,Cer
CerNeg04135FOWM,Cer
CerNeg04136F3OWM,Cer
CerNeg04137F3OWM,Cer
CerNeg21230M3OWM,Cer
CerNic04157F3OWM,Cer
CerNic07483F3OWM,Cer
CerNic07680M3OWM,Cer
CerNic12270M3OWM,Cer
ChlAet02149FOWM,Chl
ChlAet04092F4OWM,Chl
ChlAet04098M4OWM,Chl
ChlAet04099M4OWM,Chl
ChlAet04100F4OWM,Chl
ChlAet22087M4OWM,Chl
ChlAet23451M4OWM,Chl
ChlAet23452M4OWM,Chl
ChlAet23500F4OWM,Chl
ChlAet37479M4OWM,Chl
ColGue18942M6OWM,Col
ColGue18943F6OWM,Col
ColGue21231M6OWM,Col
ColGue91121F6OWM,Col
ColPol02157F6OWM,Col
ColPol18232M6OWM,Col
ColPol25552F6OWM,Col
ColPol36977F6OWM,Col
ColPol37605M6OWM,Col
EryPat04109F4OWM,Ery
EryPat04111M4OWM,Ery
EryPat17897M4OWM,Ery
EryPat18170F4OWM,Ery
LopAlb01282F4OWM,Lop
LopAlb04072F4OWM,Lop
LopAlb06002M4OWM,Lop
LopAlb09997M4OWM,Lop
LopAlb19141F4OWM,Lop
LopAlb25482M4OWM,Lop
LopAlb35255M4OWM,Lop
LopArt18179F4OWM,Lop
MacFas01653M4OWM,Mac
MacFas09301M4OWM,Mac
MacFasPAL19F4OWM,Mac
MacFasPAL28M4OWM,Mac
MacFasPAL29F4OWM,Mac
MacMau00815F4OWM,Mac
MacMau08380F4OWM,Mac
MacMau14638M4OWM,Mac
MacMau17361M4OWM,Mac
MacMulPL138M4OWM,Mac
MacMulPL148F4OWM,Mac
MacNem08384M4OWM,Mac
MacNem18290F4OWM,Mac
ManSph95771F4OWM,Man
ManSphPL108M4OWM,Man
PapAnu01285F4OWM,Pap
PapAnu02230M4OWM,Pap
PapAnu18294F4OWM,Pap
PapAnu21246M4OWM,Pap
PapCyn04273F4OWM,Pap
PapCyn08980M4OWM,Pap
PapCyn17979M4OWM,Pap
PapCyn18311F4OWM,Pap
PapHam03040F4OWM,Pap
PapHam04264M4OWM,Pap
PapHam04265F4OWM,Pap
PapHam04288M4OWM,Pap
PapHam06777F4OWM,Pap
PapHam06819F4OWM,Pap
PapHam06932F4OWM,Pap
PapHam06934M4OWM,Pap
PapHam08703M4OWM,Pap
PapHam09720M4OWM,Pap
PilBad05988M6OWM,Pil
PilBad36975F6OWM,Pil
PilBad37643F6OWM,Pil
PilBad37646M6OWM,Pil
PilKir00802F6OWM,Pil
PilKir33099F6OWM,Pil
PreSps00783F6OWM,Pre
PreSps0772DM6OWM,Pre
SemEnt00782M4OWM,Sem
SemEnt40329F4OWM,Sem
TheGel04280M4OWM,The
TheGel08920F4OWM,The
