ID,Species,Parvorder,Family,Genus,Locomotion,Loc 6,Group,Group2,TipLabels
Alouatta seniculus,AloSen,Platyrrhini,Atelidae,Alo,Qua NWMsusp,Qua NWMsusp,NWM,NWM,Alouatta seniculus
Ateles geoffroyi,AteGeo,Platyrrhini,Atelidae,Ate,Qua NWMsusp,Qua NWMsusp,NWM,NWM,Ateles geoffroyi
Ateles paniscus,AtePan,Platyrrhini,Atelidae,Ate,Qua NWMsusp,Qua NWMsusp,NWM,NWM,Ateles paniscus
Cebus apella,CebApe,Platyrrhini,Cebidae,Ceb,Qua NWMsusp,Qua NWMsusp,NWM,NWM,Cebus apella
Cebus capucinus,CebCap,Platyrrhini,Cebidae,Ceb,Qua NWMsusp,Qua NWMsusp,NWM,NWM,Cebus capucinus
Cercopithecus ascanius,CerAsc,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercopithecus ascanius
Cercopithecus cephus,CerCep,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercopithecus cephus
Cercocebus galeritus,CerGal,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercocebus galeritus
Cercopithecus hamlyni,CerHam,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercopithecus hamlyni
Cercopithecus lhoesti,CerLho,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercopithecus lhoesti
Cercopithecus mitis,CerMit,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercopithecus mitis
Cercopithecus mona,CerMon,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercopithecus mona
Cercopithecus neglectus,CerNeg,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercopithecus neglectus
Cercopithecus nictitans,CerNic,Catarrhini,Cercopithecidae,Cer,Qua Aboreal,Qua Aboreal,OWM,OWM,Cercopithecus nictitans
Chlorocebus aethiops,ChlAet,Catarrhini,Cercopithecidae,Chl,Qua Terrestrial,Qua Terrestrial,OWM,OWM,Chlorocebus aethiops
Colobus guereza,ColGue,Catarrhini,Cercopithecidae,Col,Qua OWMsusp,Qua OWMsusp,OWM,OWM,Colobus guereza
Colobus polykomos,ColPol,Catarrhini,Cercopithecidae,Col,Qua OWMsusp,Qua OWMsusp,OWM,OWM,Colobus polykomos
Daubentonia madagascariensis,DauMag,Strepsirrhini,Daubentoniidae,Dau,Vert Cl&Leaping,Vert Cl&Leaping,LEM,LEM+LOR,Daubentonia madagascariensis
Erythrocebus patas,EryPat,Catarrhini,Cercopithecidae,Ery,Qua Terrestrial,Qua Terrestrial,OWM,OWM,Erythrocebus patas
Eulemur fulvus,EulFul,Strepsirrhini,Lemuridae,Eul,Vert Cl&Leaping,Vert Cl&Leaping,LEM,LEM+LOR,Eulemur fulvus
Gorilla beringei,GorBer,Catarrhini,Hominidae,Gor,Bra Mod,Bra,HOM,HOM,Gorilla beringei
Gorilla gorilla,GorGor,Catarrhini,Hominidae,Gor,Bra Mod,Bra,HOM,HOM,Gorilla gorilla
Hylobates lar,HylLar,Catarrhini,Hylobatidae,Hyl,Bra True,Bra,HOM,HOM,Hylobates lar
Indri indri,IndInd,Strepsirrhini,Indiriidae,Ind,Vert Cl&Leaping,Vert Cl&Leaping,LEM,LEM+LOR,Indri indri
Lagothrix lagotricha,LagLag,Platyrrhini,Atelidae,Lag,Qua NWMsusp,Qua NWMsusp,NWM,NWM,Lagothrix lagotricha
Lemur catta,LemCat,Strepsirrhini,Lemuridae,Lem,Vert Cl&Leaping,Vert Cl&Leaping,LEM,LEM+LOR,Lemur catta
Lophocebus albigena,LopAlb,Catarrhini,Cercopithecidae,Lop,Qua Terrestrial,Qua Terrestrial,OWM,OWM,Lophocebus albigena
Lophocebus aterrimus,LopAte,Catarrhini,Cercopithecidae,Lop,Qua Terrestrial,Qua Terrestrial,OWM,OWM,Lophocebus aterrimus
Macaca fascicularis,MacFas,Catarrhini,Cercopithecidae,Mac,Qua Terrestrial,Qua Terrestrial,OWM,OWM,Macaca fascicularis
Macaca maura,MacMau,Catarrhini,Cercopithecidae,Mac,Qua Terrestrial,Qua Terrestrial,OWM,OWM,Macaca maura
